cell_type	assay	accession	url	ext	file_size	bio_reps	experiment	encode_phase	pipeline_version	date_created	recommended	dest_path	output_type	assembly
E079_Esophagus	H3K27ac	ENCFF794FXP	https://www.encodeproject.org/files/ENCFF794FXP/@@download/ENCFF794FXP.bam	bam	3743969106	1	ENCSR204TAU	ENCODE4	chip-seq-alignment-step-v-2-0	2020-09-23T23:53:14.280068+00:00	true	data/E079_Esophagus/H3K27ac/ENCFF794FXP.bam	unfiltered alignments	GRCh38
E079_Esophagus	ATAC	ENCFF816KZP	https://www.encodeproject.org/files/ENCFF816KZP/@@download/ENCFF816KZP.bam	bam	6826268175	1	ENCSR096BPX	ENCODE4	atac-seq-alignment-step-v-2-1	2021-02-25T18:24:19.596052+00:00	true	data/E079_Esophagus/ATAC/ENCFF816KZP.bam	unfiltered alignments	GRCh38
E079_Esophagus	HiC	ENCFF224HKR	https://www.encodeproject.org/files/ENCFF224HKR/@@download/ENCFF224HKR.hic	hic	47427931619	1	ENCSR015CVF	ENCODE4	hic-merging-quantification-interaction-calling-step-v-1-1	2022-10-26T18:58:28.813495+00:00	true	data/E079_Esophagus/HiC/ENCFF224HKR.hic	mapping quality thresholded contact matrix	GRCh38
E082_Fetal_Brain	DNase	ENCFF594ZYT	https://www.encodeproject.org/files/ENCFF594ZYT/@@download/ENCFF594ZYT.bam	bam	10889032921	1	ENCSR049SVH	ENCODE4	dnase-alignment-step-v-1-0	2021-09-07T18:05:35.860179+00:00	true	data/E082_Fetal_Brain/DNase/ENCFF594ZYT.bam	unfiltered alignments	GRCh38
E082_Fetal_Brain	H3K27ac	NOT_FOUND			0						false			
E082_Fetal_Brain	ATAC	NOT_FOUND			0						false			
E082_Fetal_Brain	HiC	NOT_FOUND			0						false			
E084_Fetal_Intestine_Lg	DNase	ENCFF091HXM	https://www.encodeproject.org/files/ENCFF091HXM/@@download/ENCFF091HXM.bam	bam	3076230581	1	ENCSR047FNH	ENCODE4	dnase-alignment-step-v-1-0	2020-11-16T22:56:17.091949+00:00	true	data/E084_Fetal_Intestine_Lg/DNase/ENCFF091HXM.bam	unfiltered alignments	GRCh38
E084_Fetal_Intestine_Lg	H3K27ac	ENCFF387RKC	https://www.encodeproject.org/files/ENCFF387RKC/@@download/ENCFF387RKC.bam	bam	1656873733	1	ENCSR659RHV	ENCODE4	chip-seq-alignment-step-v-2-0	2020-10-10T17:26:41.121475+00:00	true	data/E084_Fetal_Intestine_Lg/H3K27ac/ENCFF387RKC.bam	unfiltered alignments	GRCh38
E084_Fetal_Intestine_Lg	ATAC	NOT_FOUND			0						false			
E084_Fetal_Intestine_Lg	HiC	NOT_FOUND			0						false			
E085_Fetal_Intestine_Sm	DNase	ENCFF931AYT	https://www.encodeproject.org/files/ENCFF931AYT/@@download/ENCFF931AYT.bam	bam	27952550481	1	ENCSR945RWN	ENCODE4	dnase-alignment-step-v-1-0	2020-11-16T22:03:53.594569+00:00	true	data/E085_Fetal_Intestine_Sm/DNase/ENCFF931AYT.bam	unfiltered alignments	GRCh38
E085_Fetal_Intestine_Sm	H3K27ac	ENCFF257TPQ	https://www.encodeproject.org/files/ENCFF257TPQ/@@download/ENCFF257TPQ.bam	bam	1504957644	1	ENCSR454VRA	ENCODE4	chip-seq-alignment-step-v-2-0	2020-10-10T18:21:28.654111+00:00	true	data/E085_Fetal_Intestine_Sm/H3K27ac/ENCFF257TPQ.bam	unfiltered alignments	GRCh38
E085_Fetal_Intestine_Sm	ATAC	NOT_FOUND			0						false			
E085_Fetal_Intestine_Sm	HiC	NOT_FOUND			0						false			
E087_Pancreatic_Islets	DNase	ENCFF027VJJ	https://www.encodeproject.org/files/ENCFF027VJJ/@@download/ENCFF027VJJ.bam	bam	3034732695	1	ENCSR178JBL	ENCODE4	dnase-alignment-step-v-1-0	2020-11-11T00:29:43.437729+00:00	true	data/E087_Pancreatic_Islets/DNase/ENCFF027VJJ.bam	unfiltered alignments	GRCh38
E087_Pancreatic_Islets	H3K27ac	ENCFF181NJO	https://www.encodeproject.org/files/ENCFF181NJO/@@download/ENCFF181NJO.bam	bam	2918630875	2	ENCSR029SIG	ENCODE4	chip-seq-alignment-step-v-2-0	2021-04-28T16:23:58.759384+00:00	true	data/E087_Pancreatic_Islets/H3K27ac/ENCFF181NJO.bam	unfiltered alignments	GRCh38
E087_Pancreatic_Islets	ATAC	ENCFF848EBO	https://www.encodeproject.org/files/ENCFF848EBO/@@download/ENCFF848EBO.bam	bam	28065690808	1	ENCSR251POP	ENCODE4	atac-seq-alignment-step-v-2-1	2021-03-16T22:20:29.806244+00:00	true	data/E087_Pancreatic_Islets/ATAC/ENCFF848EBO.bam	unfiltered alignments	GRCh38
